Mchirp q EOS_ID alpha zeta L
0.118995361220159657E+01 0.134910866750616720E+01 0.401058769727767776E+04 -0.133713162500806759E+01 0.714266281874211539E-01 0.746930180542888422E+01
0.119240535885203047E+01 0.130287476788161993E+01 0.408809928901164858E+04 -0.129048633416021952E+01 0.401994457986006026E+00 0.748209404297015990E+01
0.119140027349616839E+01 0.157707795355170299E+01 0.394515711277795435E+04 -0.173534066529903908E+01 0.142921818555096364E+00 0.749153010370761052E+01
0.119187352500337740E+01 0.127709300698595962E+01 0.332306424601446770E+04 -0.134613672729365774E+01 0.789364809510251092E-01 0.749519930637475262E+01
0.118616193629446642E+01 0.112718228391585140E+01 0.396962672214058011E+04 -0.192344264277820565E+01 0.418805465518986231E+00 0.752501914732956667E+01
0.118894952584469205E+01 0.107832773081793531E+01 0.483428215749819901E+04 -0.186559250211195193E+01 0.773213193383228414E-01 0.755620278704038384E+01
0.119086181415954950E+01 0.139482899764442503E+01 0.405795738732408199E+04 -0.169942528876813048E+01 0.527642746253005265E-01 0.756043861775451642E+01
0.119174288626836877E+01 0.154738610982894897E+01 0.352665930986404419E+04 -0.183062505722045898E+01 0.272361695766448975E+00 0.761772107594529846E+01
0.119024861492866862E+01 0.147552973035914681E+01 0.341640387197211248E+04 -0.161185708476972378E+01 0.334394864652024115E+00 0.762707258886649964E+01
0.118524019143332415E+01 0.134215594014419537E+01 0.303441395924987091E+04 -0.125217972914860498E+01 0.342931309650081895E+00 0.766161298284180781E+01
0.118985777497063117E+01 0.138824203546757952E+01 0.442404467390003720E+04 -0.170874481920684929E+01 0.138535965703005162E-01 0.767662551303603280E+01
0.118972983782487085E+01 0.148634583451257574E+01 0.473720124923407548E+04 -0.177158790649785391E+01 0.926110694353001196E-01 0.767839691434644944E+01
0.119248521187551382E+01 0.154770809639425821E+01 0.355374667042069086E+04 -0.191104201876437174E+01 0.288275293295413848E+00 0.768057902549935800E+01
0.118860677283894933E+01 0.147387322043372038E+01 0.437997804753053424E+04 -0.195074668385481753E+01 0.133171573962218459E+00 0.769040519583866278E+01
0.118928701517835345E+01 0.106269311854310322E+01 0.435352513748676029E+04 -0.174194957336505230E+01 0.131805005276120296E+00 0.771377300358280138E+01
0.118709622536522774E+01 0.151251587476967808E+01 0.424774152925633553E+04 -0.142513226172104779E+01 0.604192077177109002E-01 0.776935953456420147E+01
0.119380516975336337E+01 0.133660750675565709E+01 0.458420784436502345E+04 -0.149850749778424719E+01 0.362491623261920137E+00 0.778550725535400456E+01
0.118636373854583788E+01 0.157642762438643347E+01 0.460118255976027740E+04 -0.193512442795202055E+01 0.447342924508775275E+00 0.780536937543298670E+01
0.118947867745396563E+01 0.148490742829768063E+01 0.435470137969202187E+04 -0.147866143228920355E+01 0.237270258994592698E+00 0.782590357724309715E+01
0.119352687177291528E+01 0.102814148535548688E+01 0.450155568488676090E+04 -0.156249909065467851E+01 0.362194386784101749E-01 0.782757863168925550E+01
0.119340362563521785E+01 0.135395114958383389E+01 0.356798942724437984E+04 -0.153868054987976088E+01 0.170295684315632634E+00 0.782824803178425910E+01
0.118873731070721744E+01 0.159946548621207496E+01 0.425315579932157470E+04 -0.193387711756130987E+01 0.426893097289837431E-01 0.783925521519677826E+01
0.119091488074107366E+01 0.100037258589311739E+01 0.392184656403152349E+04 -0.122920432649694034E+01 0.353891987215967041E+00 0.784940918597937731E+01
0.118692969632293499E+01 0.138892048597335815E+01 0.447373926639556885E+04 -0.187492668628692627E+01 0.132634729146957397E+00 0.786928901974210504E+01
0.118908017653521392E+01 0.155349204983275513E+01 0.362426955535480920E+04 -0.157887128597116755E+01 0.258775945328806045E+00 0.789105522697989237E+01
0.119226999716066606E+01 0.127924287319183350E+01 0.375307589769363403E+04 -0.167511332035064697E+01 0.995440483093261719E-01 0.789913115285911349E+01
0.119241650454548043E+01 0.124466089277559178E+01 0.346528199700276673E+04 -0.149152411639528681E+01 0.199460510370357391E+00 0.791394877008154563E+01
0.118998188976200669E+01 0.149795354856814522E+01 0.330845047840754751E+04 -0.164174298242818795E+01 0.442033839623384578E-01 0.791396943786743723E+01
0.119366782095654700E+01 0.103468232052712072E+01 0.478146007527190704E+04 -0.184998081795922875E+01 0.476289174379132707E+00 0.791668553572761269E+01
0.118971869228936900E+01 0.116420497114834798E+01 0.476302965660358950E+04 -0.199631334044380515E+01 0.321997600667611739E+00 0.793354223645036249E+01
0.119301734201267973E+01 0.131782748336071265E+01 0.395253209931404899E+04 -0.153422002068848862E+01 0.154362092821445668E+00 0.794814197198259631E+01
0.119304003109178414E+01 0.133040841777505414E+01 0.417807012808079980E+04 -0.190948330399263089E+01 0.295456521613856826E+00 0.794984585051138826E+01
0.118736611699352013E+01 0.159800633841001738E+01 0.308152669122884072E+04 -0.176129337766811322E+01 0.460364707592833655E+00 0.797255627913634957E+01
0.119163745161055279E+01 0.109680205583572388E+01 0.461544036865234375E+04 -0.160211825370788574E+01 0.333262145519256592E+00 0.797650831670339144E+01
0.118943521687121656E+01 0.141556979333632982E+01 0.405931365908087992E+04 -0.132695382835681075E+01 0.847700352083234770E-01 0.798401866107373515E+01
0.119130548980999773E+01 0.155363572064548272E+01 0.366090680001178816E+04 -0.150590044207725904E+01 0.134830882459439742E-01 0.798932090406331064E+01
0.119068371367695103E+01 0.155452340163693581E+01 0.367093563659835809E+04 -0.159674504027299813E+01 0.697658416070738169E-01 0.800867740037140230E+01
0.118513800734884511E+01 0.151916500773533714E+01 0.371732354428741291E+04 -0.162449050252297633E+01 0.375345350444641124E+00 0.801772420981146539E+01
0.119366277270957566E+01 0.135735678562940132E+01 0.439453660425771523E+04 -0.149676839284855534E+01 0.177229750107777279E+00 0.802039099174814041E+01
0.118940488392779264E+01 0.110418506200728994E+01 0.357168286893269533E+04 -0.121940035981014461E+01 0.644365349880219977E-02 0.803188690579835729E+01
0.118391928951856973E+01 0.116095042228698730E+01 0.387046247720718384E+04 -0.155638158321380615E+01 0.207592934370040894E+00 0.803657889483408638E+01
0.118608419484360272E+01 0.157959753520542101E+01 0.390281991552318777E+04 -0.194992001105558166E+01 0.464310108358027218E+00 0.807861214257848204E+01
0.118812319506746622E+01 0.133733826875686646E+01 0.447589248418807983E+04 -0.165450179576873779E+01 0.318850576877593994E+00 0.807888292689008480E+01
0.119208876060768909E+01 0.128609634136182915E+01 0.397850316629903682E+04 -0.156386436339101786E+01 0.206855494538198646E-01 0.811532289305661614E+01
0.118777314380383681E+01 0.123242780073701574E+01 0.376429591754826561E+04 -0.160758748071824198E+01 0.323745698574444074E+00 0.811852965685123174E+01
0.119208540675836949E+01 0.140600411323778030E+01 0.322003922217863555E+04 -0.162337852280494488E+01 0.470250776809507054E+00 0.812343983429123995E+01
0.119143027622387865E+01 0.135997342988999215E+01 0.365644486574269422E+04 -0.190115104788271116E+01 0.110201148057420609E+00 0.814714585525828205E+01
0.118579984841415897E+01 0.164169472455978394E+01 0.355026841163635254E+04 -0.180716764926910400E+01 0.115066498517990112E+00 0.815425444407128630E+01
0.119003810651825281E+01 0.117784046317951296E+01 0.491897044546234156E+04 -0.141734035339883047E+01 0.163359185054885447E+00 0.815506865902702671E+01
0.119283937881462276E+01 0.130524355173110962E+01 0.490648686885833740E+04 -0.138340318202972412E+01 0.294023156166076660E-01 0.815614596366887312E+01
0.118869933035527686E+01 0.115572330091514219E+01 0.376980201790390856E+04 -0.170983199598305458E+01 0.443979838210823263E+00 0.816298943951046496E+01
0.119184572921622634E+01 0.104234384712804684E+01 0.426111359981607711E+04 -0.174228781486843909E+01 0.110181880068370666E+00 0.817727577205629785E+01
0.118519280846660213E+01 0.126036930084228516E+01 0.367540985345840454E+04 -0.160175657272338867E+01 0.170049011707305908E+00 0.821160626851273179E+01
0.118985325521198870E+01 0.122961828988532806E+01 0.397795986905790051E+04 -0.123933190644816271E+01 0.169775657914573962E-01 0.821192862831765069E+01
0.118570910799316831E+01 0.159259612453530264E+01 0.483035957512675668E+04 -0.173548045778375992E+01 0.491705244778484318E+00 0.821393954026045492E+01
