Mchirp q alpha zeta EOS mass_1_source mass_2_source lambda_1 lambda_2 radius_1 radius_2
1.193792725977617 1.090134224917447 -1.256998216017076 0.15990436378178535 4577 1.432041993465321 1.31363822980034 221.91823227375664 374.31747640660376 11.2915 11.28124453592949
1.1920771385049873 1.3656667219308392 -1.7787769139521146 0.3592565855687234 2376 1.6041056262495719 1.1745952365168697 37.54733628824065 238.1844259610771 9.641992632843952 9.429378057511217
1.1850741109368428 1.0503656601184352 -1.3088059626987647 0.16452662883155866 4810 1.3952369864769167 1.3283345404871625 348.0338747827063 467.7585171183619 11.88789461977343 11.889064889582878
1.1838107195284513 1.354000110716567 -1.5946497298470284 0.3847851321941904 2136 1.5859556701504052 1.1713113297391697 49.78832540054171 357.82663637255115 10.112992716240957 10.19609098022748
1.1887154265356554 1.4609096909905612 -1.9667022842035844 0.2816723693238564 2313 1.656328146764481 1.133764911670493 30.248436571990222 286.369687083407 9.533047941009919 9.175677185908832
1.1841652899911554 1.525234846217649 -1.8186312385469103 0.08505986413451061 3934 1.6873585219432878 1.1062942379841902 103.29418325884217 1133.0849934103985 11.683580539086083 11.406320292753502
1.1843112735642372 1.0339707732200623 -1.9012240171432493 0.3876419067382813 4084 1.383369225715064 1.3379190800595666 383.7322858893148 465.5322193105232 11.924620883571777 11.916864073628084
1.1846317311665306 1.2705339843208725 -1.78103200219483 0.3506619708926057 3955 1.536043366339774 1.2089746400296577 209.76537161745918 842.2193507754555 11.989506742996818 11.924637333512141
1.1914358471740183 1.1851858496665955 -1.6066218614578247 0.3390870690345764 4441 1.491018121176416 1.2580458344114167 309.57316964128665 746.3625493958828 12.10413575342132 11.880808999918628
1.191728924260464 1.5176445928787807 -1.3598310588411504 0.04342725973811056 4771 1.6937308431597604 1.1160260123531072 79.80905213495294 984.0215210774646 11.388818031418836 11.296735213700218
1.1941364716013554 1.3426457594736363 -1.3877832448168523 0.21265397987037926 4806 1.5928682844513409 1.1863652591997165 93.66153419640551 564.3621421317532 10.952097869299118 10.88260392608001
1.1859317786558923 1.318586357290349 -1.9924774447706697 0.2413849744684314 3853 1.5672843361463475 1.1886095495232218 139.2528823661442 763.9801771713646 11.547136484953366 11.585710874320604
1.190057949390183 1.42661714553833 -1.389855146408081 0.0877210795879364 3517 1.6379149153645616 1.1481110545229698 136.3692197710064 1077.4725033011107 11.931378945640226 11.822086024938159
1.1857066971500536 1.0943643450737 -1.6292556524276731 0.4712579250335693 3696 1.4251234753322082 1.3022385842040871 111.62209254223193 196.10230737504583 10.428554960250537 10.463314404138302
1.1907940344758643 1.5775937231512756 -1.4911779617340843 0.28259951723199994 4382 1.7269414408614363 1.0946680476211808 78.49700031977575 1088.1612573906573 11.472605893539052 11.182012203378823
1.1871809759081255 1.0914311405898827 -1.617096321851599 0.008176734173562626 3119 1.4249649398049165 1.3055930757434406 297.65150484517284 482.61740956111885 11.621182321167229 11.550388978847796
1.1859564939365095 1.3050955382448624 -1.6531204664320038 0.1827096526088744 3304 1.5590622841783746 1.1945962870082723 57.59150872945505 350.803155700794 10.37048526915018 10.644946677342018
1.1938141885336235 1.02780953135034 -1.5718210238592165 0.029227949375482717 3455 1.390295843951672 1.3526784891020578 229.77648241305508 273.43522204696836 11.060800175647868 11.063915871736729
1.1903637822434052 1.563775658607483 -1.8840378522872925 0.25010162591934204 4413 1.7184048434457109 1.098881948946515 183.79045217639685 1812.6364059998689 12.838890976264292 12.251316143073053
1.188338821362159 1.0886477345956842 -1.2655340909564807 0.12419341428329847 4803 1.4245190922008824 1.308521615332198 243.8496857726228 394.29046118527526 11.285030018552451 11.226618097437557
1.190116913507376 1.4574285941371123 -1.7376293770258997 0.4091647123757509 4306 1.6562302905164004 1.136405788372082 90.22919882536652 885.7524119345735 11.361385029267378 11.30727260228114
1.1904851426036844 1.3492909034573255 -1.7022243756302 0.3702100586198039 4849 1.5920385371611507 1.1799075596536126 70.99618411644855 401.0074986134256 10.536193802846254 10.373285309929917
1.1864654646793111 1.3000424957696095 -1.3113909883688295 0.0783872855740226 4190 1.5566296302757652 1.1973682670690386 197.02103053826684 864.7648550737762 11.943300717040925 11.78888209895009
1.1923021794289623 1.3752968382322455 -1.825466762158218 0.4491491516798852 4691 1.610232150816608 1.1708251673772039 157.69469388731122 1082.6559861896017 12.10755589251763 12.15314671636312
1.1921065837960632 1.1455581940917356 -1.5343045542143616 0.0074371933453122735 4378 1.466324221927467 1.2800084967224674 268.5764161156953 601.4472740336516 11.950382233941305 11.940156243864694
1.1859122058761402 1.6030691266059875 -1.815333127975464 0.1676842570304871 2848 1.7343253790377433 1.0818780988625556 80.0364384720944 1245.7735820355722 11.61199683037432 11.395512826935805
1.190943430595051 1.132744134519938 -1.569340818178414 0.15147387500155599 3824 1.456570846368089 1.2858780742973257 109.74452780285343 223.5983989927404 10.337855056631632 10.262700983153012
1.1906622624613548 1.0753492227458075 -1.8288043863167196 0.1454305437135246 3943 1.418491169775699 1.319098149486461 292.54592119446215 440.0718764165821 11.514143256935053 11.457877537460105
1.1877450606901667 1.3704394514819116 -1.7569472233013674 0.39270500615486703 3872 1.6011534199531916 1.1683503552249608 148.39484516387506 895.3110144831406 11.758407415452009 11.587062356703683
1.1898356786516229 1.3115883658539405 -1.92186022240908 0.4761990154747252 4521 1.568151832553293 1.1956127954309133 143.89054407959665 694.8851090378826 11.4608411867505 11.3267689518973
1.186937026580382 1.3354933261871338 -1.785888433456421 0.08630368113517761 4747 1.5789198797325337 1.1822746312333798 367.58088146694655 1498.6592808606736 13.11927778766694 12.637384453715534
