Mchirp q alpha zeta EOS mass_1_source mass_2_source lambda_1 lambda_2 radius_1 radius_2
1.4765230918979237 1.0571017861366272 -1.9556897878646848 0.4897996187210083 3459 1.7439664360704337 1.6497620748935444 65.39442413299884 96.1453163590612 11.320462000418928 11.320007975048286
1.412748955302081 1.0300776958465576 -1.9317446947097776 0.13628843426704407 3252 1.6470831343970334 1.5989892228890532 279.8489821811059 325.7146008987341 13.026518049711923 12.969153458885188
1.4123762963417967 1.1217089891433716 -1.975735783576965 0.489147275686264 3580 1.7188566695115859 1.5323552598292405 45.339858533371114 120.6002260034612 10.928374883457519 11.188523265735876
1.4715274424167322 1.1058290004730225 -1.9496389627456665 0.35131084918975836 4494 1.7779853416300122 1.6078302711083468 49.117663517378986 104.78640641485453 11.22556559078664 11.308573930359575
1.4064589644204832 1.2410356998443604 -1.9734290838241575 0.3632279932498932 4214 1.8018993571300033 1.4519319285947867 76.22318772747109 308.8850268695777 11.897834526003102 11.834142112322898
1.4779426493614731 1.0822474956512451 -1.9132782220840452 0.2600311040878296 4778 1.76642290427198 1.632180172622188 69.7226383722864 126.65508646739377 11.810163708762014 11.907088800872637
1.409901748215669 1.1835047006607056 -1.93896758556366 0.0672609806060791 4029 1.7631435396024613 1.4897647120608524 66.61286447608683 204.2191002094067 11.531512546755009 11.532222422147623
1.4081163546944075 1.016892492771149 -1.8765852451324463 0.20365449786186215 4471 1.631116980962092 1.6040210666882897 170.18335741848094 188.97511058284678 12.28025639317029 12.275814264816944
1.470095964301082 1.073732018470764 -1.9308665990829468 0.15717715024948123 4031 1.7500665886523403 1.6298914054410238 55.641473091239305 91.67530324767037 11.242858552980195 11.2654929845618
1.4088111769191776 1.0630824565887451 -1.9607002735137935 0.2544890344142913 4502 1.6687177526812336 1.569697385502787 93.33819633994243 142.98217092389544 11.549590374076411 11.581175247804318
1.413739177606306 1.031536877155304 -1.9083930253982544 0.3773544430732727 3600 1.649408160015862 1.5989812836982407 209.51263790504578 249.9261144167341 12.719731343721124 12.691480588143465
1.43491230209121 1.0127328634262085 -1.8559088706970213 0.44219136238098145 3817 1.6587485177990005 1.637893444266473 289.1716103322915 309.34597799716863 13.259756963430807 13.239695035871549
1.4116878825684167 1.0550923347473145 -1.8947573900222776 0.1157444417476654 4026 1.665793418753924 1.5788129283991692 146.16384897899115 202.84072216397564 12.190345669643824 12.164733165298488
1.4749839704492167 1.0410310626029968 -1.9457160234451292 0.41205289959907526 4330 1.728791819315466 1.660653443897044 114.0226272750332 148.25661650972202 12.251334342176039 12.24928650383683
1.4292395740764463 1.038845956325531 -1.92029070854187 0.20290461182594297 3252 1.673410066290568 1.610835616292461 258.8165300187004 314.4000251173153 13.05729575411635 12.983285998383987
1.4047080428762244 1.2463934421539307 -1.958817720413208 0.2297707200050354 4181 1.8036210516602975 1.44707200042982 140.5983759157401 504.1228272260401 12.955511634631232 12.744842259350973
1.4754192011765945 1.117941915988922 -1.9874229431152344 0.20069864392280576 4289 1.792527949999859 1.603417784379436 37.0570115509538 88.68435094879156 10.868940158020113 10.973645146338985
1.430490771108881 1.0549853444099426 -1.9394620656967163 0.037048906087875366 3660 1.687894805699609 1.599922515173568 222.21636692468272 294.4245140054994 12.902717610492278 12.810225573786015
1.412305720486265 1.1937520503997803 -1.932557702064514 0.3067563474178314 3923 1.773911210718105 1.4859963676075219 91.31882216668144 282.3659765050951 12.167622276724911 12.149823528341082
